date,qna_count
2020-02-18,43
2020-02-17,41
2020-02-16,29
2020-02-15,50
2020-02-14,52
2020-02-13,56
2020-02-12,39
2020-02-11,50
2020-02-10,45
2020-02-09,31
2020-02-08,43
2020-02-07,53
2020-02-06,54
2020-02-05,49
2020-02-04,43
2020-02-03,34
2020-02-02,27
2020-02-01,36
2020-01-31,37
2020-01-30,41
2020-01-29,48
2020-01-28,44
2020-01-27,26
2020-01-26,18
2020-01-25,16
2020-01-24,34
2020-01-23,49
2020-01-22,49
2020-01-21,55
2020-01-20,46
2020-01-19,28
2020-01-18,35
2020-01-17,49
2020-01-16,36
2020-01-15,29
2020-01-14,44
2020-01-13,43
2020-01-12,35
2020-01-11,49
2020-01-10,34
2020-01-09,56
2020-01-08,64
2020-01-07,69
2020-01-06,34
2020-01-05,33
2020-01-04,42
2020-01-03,38
2020-01-02,24
2020-01-01,21
2019-12-31,29
2019-12-30,34
2019-12-29,24
2019-12-28,11
2019-12-27,17
2019-12-26,23
2019-12-25,10
2019-12-24,16
2019-12-23,14
2019-12-22,10
2019-12-21,20
2019-12-20,26
2019-12-19,30
2019-12-18,17
2019-12-17,29
2019-12-16,13
2019-12-15,26
2019-12-14,12
2019-12-13,19
2019-12-12,30
2019-12-11,23
2019-12-10,39
2019-12-09,35
2019-12-08,15
2019-12-07,20
2019-12-06,17
2019-12-05,19
2019-12-04,18
2019-12-03,20
2019-12-02,15
2019-12-01,18
2019-11-30,10
2019-11-29,12
2019-11-28,14
2019-11-27,9
2019-11-26,11
2019-11-25,9
2019-11-24,10
2019-11-23,5
2019-11-22,10
2019-11-21,19
2019-11-20,16
2019-11-19,16
2019-11-18,15
2019-11-17,10
2019-11-16,20
2019-11-15,18
2019-11-14,19
2019-11-13,5
2019-11-12,29
2019-11-11,35
2019-11-10,34
2019-11-09,41
2019-11-08,20
2019-11-07,34
2019-11-06,45
2019-11-05,66
2019-11-04,60
2019-11-03,31
2019-11-02,48
2019-11-01,45
2019-10-31,50
2019-10-30,69
2019-10-29,80
2019-10-28,87
2019-10-27,54
2019-10-26,33
2019-10-25,81
2019-10-24,62
2019-10-23,78
2019-10-22,50
2019-10-21,56
2019-10-20,40
2019-10-19,80
2019-10-18,65
2019-10-17,74
2019-10-16,72
2019-10-15,60
2019-10-14,66
2019-10-13,44
2019-10-12,78
2019-10-11,87
2019-10-10,86
2019-10-09,74
2019-10-08,30
